first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1755;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;13.25;3.7;33.85;6.68;0.85;24.17;;;;;;;counted towards both;cases per 1000 person months;01.10.2013;between 297 and 366 people;31.10.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1756;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;19.25;7.22;42.08;0.02;0;12.05;;;;;;;counted towards both;cases per 1000 person months;01.11.2013;between 297 and 366 people;30.11.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1757;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;3.78;;;3.53;0.31;18.3;;;;;;;counted towards both;cases per 1000 person months;01.12.2013;between 297 and 366 people;31.12.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1758;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;10.27;2.21;28.64;0.23;0;12.14;;;;;;;counted towards both;cases per 1000 person months;01.01.2014;between 297 and 366 people;31.01.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1759;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.27;;;0.27;0;12.67;;;;;;;counted towards both;cases per 1000 person months;01.02.2014;between 297 and 366 people;28.02.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1760;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.19;;;0.31;0.06;12.71;;;;;;;counted towards both;cases per 1000 person months;01.03.2014;between 297 and 366 people;31.03.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1761;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.35;;;0.35;0.1;13.87;;;;;;;counted towards both;cases per 1000 person months;01.04.2014;between 297 and 366 people;30.04.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1762;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.51;0.02;12.67;6.96;1.38;24.58;;;;;;;counted towards both;cases per 1000 person months;01.05.2014;between 297 and 366 people;31.05.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1763;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.43;;;0.43;0;14.08;;;;;;;counted towards both;cases per 1000 person months;01.06.2014;between 297 and 366 people;30.06.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1764;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;7.79;1.46;27.02;0.35;0;14.12;;;;;;;counted towards both;cases per 1000 person months;01.07.2014;between 297 and 366 people;31.07.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1765;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;4.11;0.02;20.49;0.51;0.14;13.79;;;;;;;counted towards both;cases per 1000 person months;01.08.2014;between 297 and 366 people;31.08.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1766;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;4.15;;;4.28;0.68;20.78;;;;;;;counted towards both;cases per 1000 person months;01.09.2014;between 297 and 366 people;30.09.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1767;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;3.94;0.1;18.96;0.47;0.1;12.63;;;;;;;counted towards both;cases per 1000 person months;01.10.2014;between 297 and 366 people;31.10.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1768;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;3.99;0.01;19.12;0.76;0.14;12.79;;;;;;;counted towards both;cases per 1000 person months;01.11.2014;between 297 and 366 people;30.11.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1769;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.8;;;0.55;0.18;12.84;;;;;;;counted towards both;cases per 1000 person months;01.12.2014;between 297 and 366 people;31.12.2014;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1770;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.72;;;0.59;0.22;13.5;;;;;;;counted towards both;cases per 1000 person months;01.01.2015;between 297 and 366 people;31.01.2015;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.034;0.05;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1771;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;0.76;;;0.76;0.27;15.4;;;;;;;counted towards both;cases per 1000 person months;01.02.2015;between 297 and 366 people;28.02.2015;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;dry;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.034;0.05;high;high;;;low;low;;
